{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf200
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0         YR/MO/DY        HR:MN:SC        IRR     STD\
        ========        ========        ======  ===\
        94/11/06        06:21:46        1365.6  0.4\
        94/11/07        08:03:06        1365.9  0.5\
        94/11/08        22:35:38        1364.8  0.2\
        94/11/09        00:12:10        1365.3  0.2\
        94/11/10        00:17:30        1365.5  0.6\
        94/11/11        01:59:22        1365.2  0\
        94/11/12        16:31:54        1365.2  0.2\
        94/11/13        16:37:46        1365.3  0.2\
        94/11/16        08:54:50        1365.1  0.2\
        94/11/29        05:43:54        1365    0.4\
        94/12/07        09:36:58        1364.6  0.3\
        94/12/11        00:19:06        1365.1  0.5\
        94/12/16        09:55:38        1364.8  0.2\
        94/12/21        09:56:42        1365.1  0\
        95/01/04        11:19:22        1365.7  0.2\
        95/01/09        00:32:26        1365.3  0\
        95/01/14        05:05:30        1365    0\
        95/01/18        10:16:58        1364.2  0.2\
        95/01/25        23:47:38        1364.9  0.2\
        95/02/08        01:23:38        1364    1\
        95/02/18        19:53:30        1364.5  0\
        95/02/23        06:34:02        1364.8  0\
        95/03/15        14:58:34        1365    0.8\
        95/03/30        14:04:10        1365.4  0.6\
        95/04/12        16:55:54        1364.9  0.1\
        95/04/26        21:31:06        1365.4  0.5\
        95/04/29        20:10:34        1364.6  0.2\
        95/05/03        22:48:58        1365.5  0\
        95/05/10        16:57:30        1365    0.4\
        95/05/15        10:57:30        1364.9  0.2\
        95/06/07        21:32:42        1365.3  0.2\
        95/06/09        21:42:50        1365.3  0\
        95/06/13        21:22:02        1365.2  0.3\
        95/06/21        18:53:14        1364.7  0.6\
        95/07/05        10:36:42        1364.4  0.8\
        95/07/09        07:45:30        1364.6  0\
        95/07/12        18:21:14        1364.9  0.2\
        95/07/19        10:54:50        1364.8  0\
        95/08/07        11:24:10        1365.2  0.1\
        95/08/16        10:37:46        1365.8  0.3\
        95/08/20        14:11:06        1365    0.6\
        95/08/23        00:53:46        1365.1  0.6\
        95/08/30        11:09:14        1365.1  0.4\
        95/09/13        11:00:10        1364.7  0.3\
        95/09/23        15:07:38        1365    0.3\
        95/09/27        06:32:26        1364.8  0.6\
        95/10/11        22:18:34        1364.8  0.4\
        95/10/25        17:16:42        1365.8  0.3\
        95/10/28        06:18:02        1365.8  0.1\
        95/10/31        23:30:31        1365.2  0.5\
        95/11/12        18:11:38        1364.8  0.5\
        95/11/25        11:46:02        1364.9  0.4\
        95/12/07        19:10:50        1365.2  0.2\
        95/12/12        18:42:34        1364.6  0.7\
        95/12/20        11:24:42        1364.8  0.5\
        96/01/03        11:09:13        1364.9  0.6\
        96/01/06        01:47:05        1365.2  0.1\
        96/01/12        16:02:33        1364.6  0\
        96/01/17        16:29:45        1364.9  0\
        96/01/22        23:24:41        1364.9  0.3\
        96/02/04        18:34:01        1365.5  0.5\
        96/02/15        16:15:21        1365.5  0.4\
        96/02/20        17:22:33        1365.4  0.2\
        96/02/28        14:51:37        1364.9  0.3\
        96/03/21        13:50:17        1365.9  0.2\
        96/03/27        13:40:09        1364.7  0.4\
        96/04/10        16:39:21        1365.1  0.4\
        96/04/24        21:10:17        1365.1  0.2\
        96/04/30        12:44:09        1365.3  0.3\
        96/05/08        11:47:05        1365    0.2\
        96/05/10        23:10:49        1364.5  0.3\
        96/05/23        11:56:09        1364.5  0.1\
        96/05/24        15:15:05        1364.7  0.3\
        96/06/05        01:51:53        1365.5  0.2\
        96/06/09        01:30:01        1364.8  0\
        96/06/19        08:51:05        1364.7  0.2\
        96/07/03        23:01:13        1364.7  0.3\
        96/07/08        22:32:25        1364.4  0.2\
        96/07/17        12:01:29        1364.8  0.2\
        96/07/21        05:56:41        1364.6  0.2\
        96/08/03        12:21:13        1364.6  0.3\
        96/08/14        10:07:53        1365.3  0.2\
        96/08/28        12:16:57        1364.6  0.2\
        96/09/11        12:05:45        1365    0.2\
        96/09/18        12:42:33        1364.4  0.2\
        96/09/22        13:44:57        1364.8  0.2\
        96/09/25        10:47:53        1365    0.2\
        96/10/09        12:08:25        1364.8  0.1\
        96/10/23        11:52:25        1366    0.2\
        96/10/25        07:13:29        1366.3  0.5\
        96/10/28        11:35:53        1365.2  0.4\
        96/11/06        12:22:49        1365    0.4\
        96/11/08        07:46:01        1365    0.6\
        96/11/20        10:51:05        1365    0.5\
        96/12/04        10:24:57        1364.8  0.1\
        96/12/07        11:22:01        1365.3  0.3\
        96/12/18        10:46:17        1364.7  0.4\
        97/01/01        21:42:17        1365.1  0.6\
        97/01/04        11:38:01        1365.2  0.5\
        97/01/15        12:35:37        1364.6  0.4\
        97/01/17        12:47:53        1365.1  0.2\
        97/01/30        11:09:13        1364.9  0.5\
        97/02/12        10:36:41        1364.4  0.3\
        97/02/14        11:28:25        1365.7  0.2\
        97/02/26        10:55:53        1365.1  0.1\
        97/03/12        12:20:41        1365.7  0.2\
        97/03/18        11:16:09        1365.2  0.1\
        97/03/20        10:43:37        1364.7  0.2\
        97/03/26        11:16:09        1364.7  0\
        97/04/09        11:03:53        1365    0.1\
        97/04/22        10:37:13        1364.5  0.1\
        97/04/24        11:28:57        1365.1  0.2\
        97/05/07        09:18:49        1365.4  0.3\
        97/05/19        10:47:21        1364.7  0.4\
        97/05/21        10:59:37        1364.9  0.4\
        97/06/02        10:26:01        1364.8  0.3\
        97/06/05        21:12:57        1364.7  0\
        97/06/18        11:10:49        1365    0.4\
        97/07/02        12:26:00        1365.1  0\
        97/07/04        11:42:16        1365.7  0.5\
        97/07/16        20:40:56        1365.1  0.2\
        97/07/30        12:44:08        1365.1  0.4\
        97/08/08        18:20:40        1365.4  0\
        97/08/10        10:29:12        1365.2  0.4\
        97/08/11        18:35:36        1365.2  0.4\
        97/08/12        04:14:16        1365    0.4\
        97/08/13        16:27:36        1365.8  0.8\
        97/08/14        06:54:16        1365.4  0.1\
        97/08/16        21:31:36        1365.4  0.3\
        97/08/17        00:44:08        1365.3  0\
        97/08/18        10:27:36        1365.7  0.3\
        97/08/19        10:32:56        1365.3  0.3\
        97/08/20        10:38:16        1365.3  0.3\
        97/08/21        12:20:08        1365.2  0.3\
        97/08/22        10:49:28        1365.3  0.2\
        97/08/23        14:07:52        1365.2  0.6\
        97/08/24        11:01:12        1365.1  0.2\
        97/08/27        12:55:20        1365.3  0.1\
        97/09/10        11:03:52        1363.8  0.4\
        97/09/14        12:59:36        1364.9  0.7\
        97/09/17        20:22:48        1364.9  0.2\
        97/09/24        12:55:52        1365.1  0.1\
        97/09/25        21:03:52        1365.4  0.1\
        97/10/08        11:07:36        1365.3  0.2\
        97/10/21        10:41:28        1365.7  0\
        97/10/23        11:46:00        1365.3  0.3\
        97/10/31        10:50:00        1365    0.5\
        97/11/04        11:12:56        1364.6  0.2\
        97/11/17        11:08:40        1365.2  0.5\
        97/11/20        21:01:12        1365    0.5\
        97/11/30        10:35:36        1365.1  0\
        97/12/02        11:27:20        1365.5  0.3\
        97/12/03        11:32:08        1365.1  0.5\
        97/12/17        12:48:24        1365.3  0.2\
        97/12/29        10:40:56        1365.4  0\
        97/12/31        11:45:28        1365.3  0.3\
        98/01/13        11:16:40        1365.1  0.3\
        98/01/26        11:15:04        1365.1  0.4\
        98/01/28        11:24:08        1365.2  0.3\
        98/01/31        11:37:28        1365.4  0\
        98/02/08        09:03:20        1365.3  0\
        98/02/10        06:42:32        1365.1  0\
        98/02/25        11:15:04        1364.9  0.4\
        98/04/17        12:02:31        1365.9  0.2\
        98/04/21        11:26:47        1366.2  0\
        98/05/03        10:46:47        1364.6  0.4\
        98/05/16        10:41:59        1365.1  0.3\
        98/05/28        11:43:51        1365    0\
        98/06/01        09:44:55        1365.7  0.3\
        98/06/17        11:10:47        1365.3  0.2\
        98/06/27        10:26:31        1364.9  0.4\
        98/06/30        11:23:03        1365.6  0.3\
        98/07/13        10:46:15        1365.7  0.4\
        98/07/27        10:48:23        1365    0.1\
        98/07/31        11:10:15        1365.6  0.2\
        98/08/07        11:43:51        1366.4  0.4\
        98/08/11        11:20:23        1365    0.5\
        98/08/26        11:06:31        1365.6  0.2\
        98/08/31        11:34:15        1365    0.1\
        98/09/10        12:24:23        1365.1  0.1\
        98/09/13        13:21:27        1365.6  0.4\
        98/09/23        10:57:27        1365.1  0.2\
        98/09/30        21:16:07        1365.8  0.3\
        98/10/07        12:20:07        1365.6  0.1\
        98/10/16        11:28:55        1365    0.4\
        98/10/19        11:00:07        1365.4  0\
        98/10/21        12:45:43        1365.8  0.5\
        98/10/29        23:03:51        1365.3  0.5\
        98/10/31        16:49:59        1366    0.3\
        98/11/02        15:26:48        1365.9  0.7\
        98/11/03        22:00:24        1366.1  0.1\
        98/11/04        23:44:56        1366    0.4\
        98/11/05        01:21:28        1365.9  0.4\
        98/11/06        22:26:00        1365.7  0.6\
        98/11/07        22:33:28        1365.8  0.7\
        98/11/08        22:39:52        1365.9  0.8\
        98/11/09        11:31:04        1366    1\
        98/11/10        10:00:56        1366    0.8\
        98/11/11        11:42:16        1365.8  0.8\
        98/11/12        11:47:03        1365.7  0.7\
        98/11/17        10:33:27        1365.1  0.6\
        98/11/19        12:19:03        1365.6  0.8\
        98/11/25        11:09:11        1365.8  0.1\
        98/11/29        10:33:59        1366.5  0.1\
        98/12/02        22:02:31        1366    0\
        99/01/06        11:23:02        1366.2  0.4\
        99/01/09        11:39:02        1365.5  0.4\
        99/01/11        11:51:19        1365.8  0.3\
        99/01/13        12:07:19        1366.1  0.3\
        99/02/06        11:43:50        1366.4  0\
        99/02/10        12:01:58        1366.1  0\
        99/02/24        13:15:34        1366.3  0.1\
        99/02/28        12:00:22        1365.6  0.4\
        99/03/10        12:48:54        1365.9  0.2\
        99/03/11        12:11:34        1365.5  0.7\
        99/03/24        13:15:34        1365.8  0.5\
        99/03/31        10:43:34        1365.6  0.3\
        99/04/07        12:55:18        1365.6  0.5\
        99/04/21        13:01:10        1365.6  0.3\
        99/04/29        10:22:14        1364.7  0.2\
        99/05/11        13:17:10        1365.7  0.2\
        99/05/19        12:20:06        1365.1  0.4\
        99/05/31        10:55:18        1365    0\
        99/06/02        12:40:54        1365.3  0.3\
        99/06/16        10:37:42        1365.2  0.6\
