TCTE
Version: v3L3
Created: 08-Jun-2022
JD        Value 
2456749.5 1362.146300
2456750.5 NaN
2456751.5 1361.839000
2456752.5 1361.672600
2456753.5 1361.771600
2456754.5 1361.944300
2456755.5 1362.172200
2456756.5 1362.164200
2456757.5 1362.073800
2456758.5 1362.311500
2456759.5 1362.229800
2456760.5 1362.045300
2456761.5 1361.983800
2456762.5 1361.804200
2456763.5 1361.390300
2456764.5 1361.034500
2456765.5 1361.296700
2456766.5 1361.396900
2456767.5 1361.861100
2456768.5 1362.309400
2456769.5 1362.477200
2456770.5 1362.257900
2456771.5 1362.065700
2456772.5 1362.126900
2456773.5 1362.223200
2456774.5 1362.183500
2456775.5 1362.177600
2456776.5 1362.114200
2456777.5 1361.981400
2456778.5 1361.676300
2456779.5 1361.581800
2456780.5 1361.171500
2456781.5 1361.237200
2456782.5 1361.653600
2456783.5 1361.860200
2456784.5 1361.970200
2456785.5 1361.725600
2456786.5 1361.765200
2456787.5 NaN
2456788.5 NaN
2456789.5 1361.468200
2456790.5 NaN
2456791.5 1361.664600
2456792.5 NaN
2456793.5 1362.042500
2456794.5 NaN
2456795.5 NaN
2456796.5 1362.623500
2456797.5 NaN
2456798.5 1362.110900
2456799.5 NaN
2456800.5 NaN
2456801.5 NaN
2456802.5 1362.021200
2456803.5 NaN
2456804.5 NaN
2456805.5 NaN
2456806.5 NaN
2456807.5 NaN
2456808.5 NaN
2456809.5 1362.134400
2456810.5 NaN
2456811.5 NaN
2456812.5 NaN
2456813.5 NaN
2456814.5 NaN
2456815.5 NaN
2456816.5 1361.443100
2456817.5 NaN
2456818.5 NaN
2456819.5 NaN
2456820.5 NaN
2456821.5 NaN
2456822.5 NaN
2456823.5 1362.084200
2456824.5 NaN
2456825.5 NaN
2456826.5 NaN
2456827.5 NaN
2456828.5 NaN
2456829.5 NaN
2456830.5 1361.756200
2456831.5 NaN
2456832.5 NaN
2456833.5 NaN
2456834.5 NaN
2456835.5 NaN
2456836.5 NaN
2456837.5 1361.677100
2456838.5 NaN
2456839.5 NaN
2456840.5 NaN
2456841.5 NaN
2456842.5 NaN
2456843.5 NaN
2456844.5 1361.144200
2456845.5 NaN
2456846.5 NaN
2456847.5 NaN
2456848.5 NaN
2456849.5 NaN
2456850.5 NaN
2456851.5 1361.912100
2456852.5 NaN
2456853.5 NaN
2456854.5 NaN
2456855.5 NaN
2456856.5 NaN
2456857.5 NaN
2456858.5 NaN
2456859.5 1361.543700
2456860.5 NaN
2456861.5 NaN
2456862.5 NaN
2456863.5 NaN
2456864.5 NaN
2456865.5 1361.804800
2456866.5 NaN
2456867.5 NaN
2456868.5 NaN
2456869.5 NaN
2456870.5 NaN
2456871.5 NaN
2456872.5 1362.405200
2456873.5 NaN
2456874.5 NaN
2456875.5 NaN
2456876.5 NaN
2456877.5 NaN
2456878.5 NaN
2456879.5 1361.733200
2456880.5 NaN
2456881.5 NaN
2456882.5 NaN
2456883.5 NaN
2456884.5 NaN
2456885.5 NaN
2456886.5 1361.420000
2456887.5 NaN
2456888.5 NaN
2456889.5 NaN
2456890.5 NaN
2456891.5 NaN
2456892.5 NaN
2456893.5 1361.684100
2456894.5 NaN
2456895.5 NaN
2456896.5 NaN
2456897.5 NaN
2456898.5 NaN
2456899.5 NaN
2456900.5 1361.891400
2456901.5 NaN
2456902.5 NaN
2456903.5 NaN
2456904.5 NaN
2456905.5 NaN
2456906.5 NaN
2456907.5 1361.858900
2456908.5 NaN
2456909.5 NaN
2456910.5 NaN
2456911.5 NaN
2456912.5 NaN
2456913.5 NaN
2456914.5 1362.034300
2456915.5 NaN
2456916.5 NaN
2456917.5 NaN
2456918.5 NaN
2456919.5 NaN
2456920.5 NaN
2456921.5 1362.119200
2456922.5 NaN
2456923.5 NaN
2456924.5 NaN
2456925.5 NaN
2456926.5 NaN
2456927.5 NaN
2456928.5 1361.346700
2456929.5 NaN
2456930.5 NaN
2456931.5 NaN
2456932.5 NaN
2456933.5 NaN
2456934.5 NaN
2456935.5 1362.169700
2456936.5 NaN
2456937.5 NaN
2456938.5 NaN
2456939.5 NaN
2456940.5 NaN
2456941.5 NaN
2456942.5 1362.109700
2456943.5 NaN
2456944.5 NaN
2456945.5 NaN
2456946.5 NaN
2456947.5 NaN
2456948.5 NaN
2456949.5 1361.825000
2456950.5 NaN
2456951.5 NaN
2456952.5 NaN
2456953.5 NaN
2456954.5 NaN
2456955.5 NaN
2456956.5 1359.825400
2456957.5 NaN
2456958.5 NaN
2456959.5 NaN
2456960.5 NaN
2456961.5 NaN
2456962.5 NaN
2456963.5 1362.118600
2456964.5 NaN
2456965.5 NaN
2456966.5 NaN
2456967.5 NaN
2456968.5 NaN
2456969.5 NaN
2456970.5 1362.040600
2456971.5 NaN
2456972.5 NaN
2456973.5 NaN
2456974.5 NaN
2456975.5 NaN
2456976.5 NaN
2456977.5 1362.539700
2456978.5 NaN
2456979.5 NaN
2456980.5 NaN
2456981.5 NaN
2456982.5 NaN
2456983.5 NaN
2456984.5 1361.843600
2456985.5 NaN
2456986.5 NaN
2456987.5 NaN
2456988.5 NaN
2456989.5 NaN
2456990.5 NaN
2456991.5 1361.520000
2456992.5 NaN
2456993.5 NaN
2456994.5 NaN
2456995.5 NaN
2456996.5 NaN
2456997.5 NaN
2456998.5 1362.124300
2456999.5 NaN
2457000.5 NaN
2457001.5 NaN
2457002.5 NaN
2457003.5 NaN
2457004.5 NaN
2457005.5 1362.329800
2457006.5 NaN
2457007.5 NaN
2457008.5 NaN
2457009.5 NaN
2457010.5 NaN
2457011.5 NaN
2457012.5 1361.463000
2457013.5 NaN
2457014.5 NaN
2457015.5 NaN
2457016.5 NaN
2457017.5 NaN
2457018.5 NaN
2457019.5 1362.052300
2457020.5 NaN
2457021.5 NaN
2457022.5 NaN
2457023.5 NaN
2457024.5 1361.658500
2457025.5 1361.451900
2457026.5 1361.337700
2457027.5 1361.427400
2457028.5 1361.657600
2457029.5 1362.152600
2457030.5 1362.450100
2457031.5 1362.546200
2457032.5 1362.433100
