ACRIM2/UARS
Version: 
Created: 08-Jun-2022
JD        Value 
2448897.5 1364.449000
2448898.5 1364.477000
2448899.5 1364.551000
2448900.5 1364.421000
2448901.5 1364.291000
2448902.5 1364.352000
2448903.5 1364.423000
2448904.5 1364.583000
2448907.5 1364.639000
2448908.5 1364.611000
2448909.5 1364.642000
2448910.5 1364.557000
2448911.5 1364.509000
2448912.5 1364.446000
2448913.5 1364.385000
2448914.5 1364.042000
2448915.5 1363.666000
2448916.5 1363.419000
2448917.5 1363.383000
2448918.5 1363.596000
2448919.5 1363.710000
2448920.5 1363.554000
2448921.5 1363.474000
2448922.5 1363.494000
2448923.5 1363.536000
2448924.5 1363.713000
2448925.5 1363.958000
2448926.5 1364.201000
2448927.5 1364.418000
2448928.5 1364.497000
2448929.5 1364.503000
2448930.5 1364.359000
2448931.5 1364.292000
2448932.5 1364.249000
2448933.5 1364.113000
2448934.5 1364.017000
2448935.5 1363.874000
2448936.5 1363.931000
2448937.5 1364.210000
2448938.5 1364.437000
2448939.5 1364.517000
2448940.5 1364.588000
2448941.5 1364.748000
2448942.5 1364.895000
2448943.5 1364.945000
2448944.5 1364.814000
2448945.5 1364.706000
2448946.5 1364.642000
2448947.5 1364.491000
2448948.5 1364.411000
2448949.5 1364.365000
2448950.5 1364.481000
2448951.5 1364.611000
2448952.5 1364.634000
2448953.5 1364.535000
2448954.5 1364.344000
2448955.5 1364.277000
2448956.5 1364.118000
2448957.5 1364.216000
2448958.5 1364.422000
2448959.5 1364.601000
2448960.5 1364.617000
2448961.5 1364.452000
2448962.5 1364.436000
2448963.5 1364.436000
2448964.5 1364.625000
2448965.5 1364.567000
2448966.5 1364.218000
2448967.5 1363.936000
2448968.5 1363.742000
2448969.5 1363.864000
2448970.5 1364.213000
2448971.5 1364.591000
2448972.5 1364.963000
2448973.5 1364.961000
2448974.5 1364.883000
2448975.5 1364.845000
2448976.5 1364.837000
2448977.5 1364.817000
2448978.5 1364.767000
2448979.5 1364.747000
2448980.5 1364.731000
2448981.5 1364.571000
2448982.5 1364.393000
2448983.5 1364.273000
2448984.5 1364.216000
2448985.5 1364.407000
2448986.5 1364.395000
2448988.5 1364.436000
2448988.5 1364.428000
2448989.5 1364.460000
2448990.5 1364.346000
2448991.5 1364.268000
2448992.5 1364.273000
2448993.5 1364.297000
2448994.5 1364.348000
2448995.5 1364.533000
2448996.5 1364.668000
2448997.5 1364.864000
2448998.5 1364.904000
2448999.5 1364.843000
2449000.5 1364.733000
2449001.5 1364.627000
