ERBE/ERBS
Version: 
Created: 08-Jun-2022
JD        Value 
2447614.5 1365.900000
2447628.5 1366.800000
2447642.5 1365.900000
2447656.5 1366.700000
2447670.5 1365.900000
2447679.5 1365.600000
2447692.5 1363.300000
2447699.5 1366.100000
2447713.5 1365.900000
2447727.5 1366.100000
2447741.5 1365.500000
2447753.5 1365.700000
2447763.5 1366.600000
2447768.5 1366.200000
2447782.5 1365.900000
2447796.5 1366.300000
2447810.5 1367.000000
2447824.5 1366.600000
2447838.5 1366.500000
2447853.5 1365.700000
2447860.5 1365.500000
2447875.5 1366.400000
2447880.5 1365.900000
2447894.5 1366.100000
2447908.5 1366.000000
2447922.5 1366.300000
2447933.5 1365.600000
2447944.5 1365.500000
2447950.5 1365.700000
2447964.5 1366.200000
2447978.5 1366.400000
2447992.5 1365.900000
2448006.5 1366.300000
2448020.5 1365.900000
2448035.5 1366.400000
2448041.5 1365.600000
2448056.5 1366.600000
2448062.5 1366.300000
2448076.5 1364.500000
2448090.5 1366.600000
2448104.5 1366.000000
2448114.5 1366.700000
2448126.5 1364.400000
2448132.5 1366.500000
2448146.5 1366.000000
2448160.5 1365.800000
2448174.5 1365.000000
2448188.5 1365.700000
2448202.5 1366.100000
2448216.5 1363.600000
2448223.5 1365.400000
2448238.5 1365.900000
2448244.5 1364.400000
2448258.5 1366.300000
2448272.5 1364.800000
2448286.5 1363.100000
2448296.5 1365.600000
2448307.5 1365.800000
2448314.5 1365.600000
2448328.5 1365.700000
2448342.5 1365.000000
2448356.5 1367.600000
2448370.5 1366.300000
2448384.5 1365.000000
2448398.5 1365.600000
2448404.5 1364.500000
2448419.5 1364.800000
2448426.5 1365.700000
2448440.5 1366.900000
2448454.5 1366.300000
2448468.5 1366.900000
2448477.5 1366.500000
2448489.5 1364.500000
2448496.5 1366.200000
2448510.5 1365.800000
2448524.5 1365.900000
2448538.5 1366.500000
2448552.5 1365.400000
2448566.5 1365.800000
2448580.5 1366.300000
2448586.5 1365.600000
2448600.5 1364.400000
2448608.5 1366.100000
2448622.5 1365.600000
2448636.5 1366.200000
2448650.5 1364.800000
2448658.5 1365.700000
2448670.5 1365.900000
2448678.5 1365.100000
2448692.5 1366.200000
2448704.5 1366.300000
2448705.5 1365.800000
2448706.5 1366.200000
2448707.5 1365.600000
2448708.5 1365.800000
2448709.5 1365.200000
2448710.5 1364.600000
2448711.5 1364.200000
2448712.5 1364.900000
2448713.5 1365.400000
2448714.5 1366.000000
2448720.5 1365.700000
2448734.5 1365.500000
2448748.5 1365.800000
2448762.5 1366.500000
2448766.5 1365.300000
2448781.5 1365.200000
2448790.5 1365.600000
2448804.5 1365.700000
2448818.5 1365.900000
2448839.5 1365.600000
2448852.5 1364.300000
2448860.5 1366.200000
2448877.5 1365.200000
2448902.5 1365.500000
