TSIS-1
Version: v3L3
Created: 11-Dec-2024
JD        Value 
2458899.5 1361.518000
2458900.5 1361.533100
2458901.5 1361.561700
2458902.5 1361.549500
2458903.5 1361.561300
2458904.5 1361.553500
2458905.5 1361.529400
2458906.5 1361.530500
2458907.5 1361.527900
2458908.5 1361.511100
2458909.5 1361.557300
2458910.5 1361.570100
2458911.5 1361.578800
2458912.5 1361.559800
2458913.5 1361.565300
2458914.5 1361.560900
2458915.5 1361.593700
2458916.5 1361.579800
2458917.5 1361.540400
2458918.5 1361.594500
2458919.5 1361.606700
2458920.5 1361.570000
2458921.5 1361.562900
2458922.5 1361.560800
2458923.5 1361.571400
2458924.5 1361.571800
2458925.5 1361.555400
2458926.5 1361.599700
2458927.5 1361.615900
2458928.5 1361.616400
2458929.5 1361.592600
2458930.5 1361.591600
2458931.5 1361.607200
2458932.5 1361.591900
2458933.5 1361.578500
2458934.5 1361.595900
2458935.5 1361.574100
2458936.5 1361.547000
2458937.5 1361.540900
2458938.5 1361.562000
2458939.5 1361.582800
2458940.5 1361.567000
2458941.5 1361.582700
2458942.5 1361.579100
2458943.5 1361.594900
2458944.5 1361.593000
2458945.5 1361.580700
2458946.5 1361.607700
2458947.5 1361.620300
2458948.5 1361.576600
2458949.5 1361.585300
2458950.5 NaN
2458951.5 1361.574800
2458952.5 1361.560400
2458953.5 1361.561300
2458954.5 1361.575100
2458955.5 1361.551200
2458956.5 1361.548900
2458957.5 1361.590700
2458958.5 1361.581000
2458959.5 NaN
2458960.5 1361.567600
2458961.5 1361.558700
2458962.5 1361.564900
2458963.5 1361.575400
2458964.5 1361.601100
2458965.5 NaN
2458966.5 1361.578900
2458967.5 1361.577000
2458968.5 1361.615500
2458969.5 1361.629500
2458970.5 1361.635500
2458971.5 1361.658400
2458972.5 1361.656900
2458973.5 1361.631200
2458974.5 1361.626500
2458975.5 1361.561100
2458976.5 1361.624200
2458977.5 1361.574200
2458978.5 1361.584200
2458979.5 1361.593200
2458980.5 1361.578600
2458981.5 1361.562900
2458982.5 1361.538400
2458983.5 1361.574400
2458984.5 1361.576500
2458985.5 NaN
2458986.5 NaN
2458987.5 NaN
2458988.5 NaN
2458989.5 1361.673900
2458990.5 1361.633600
2458991.5 1361.635900
2458992.5 NaN
2458993.5 1361.657500
2458994.5 1361.626800
2458995.5 1361.660400
2458996.5 1361.673700
2458997.5 1361.652000
2458998.5 1361.644300
2458999.5 1361.644200
2459000.5 1361.642500
2459001.5 1361.658400
2459002.5 1361.629600
2459003.5 1361.662700
2459004.5 1361.670500
2459005.5 1361.687500
2459006.5 1361.701400
2459007.5 1361.667500
2459008.5 1361.677600
2459009.5 1361.636100
2459010.5 1361.625800
2459011.5 1361.637600
2459012.5 1361.612000
2459013.5 1361.616400
2459014.5 1361.618100
2459015.5 1361.623600
2459016.5 1361.613200
2459017.5 1361.610300
2459018.5 1361.637400
2459019.5 1361.616000
2459020.5 1361.627400
2459021.5 1361.614700
2459022.5 1361.608300
