VIRGO/SOHO
Version: V8_20220105
Created: 08-Jun-2022
JD        Value 
2450219.5 1360.721000
2450220.5 1360.729000
2450221.5 1360.696000
2450222.5 1360.609000
2450223.5 1360.551000
2450224.5 1360.523000
2450225.5 1360.521000
2450226.5 1360.534000
2450227.5 1360.552000
2450228.5 1360.565000
2450229.5 1360.565000
2450230.5 1360.556000
2450231.5 1360.571000
2450232.5 1360.582000
2450233.5 1360.581000
2450234.5 1360.584000
2450235.5 1360.631000
2450236.5 1360.679000
2450237.5 1360.741000
2450238.5 1360.776000
2450239.5 1360.776000
2450240.5 1360.756000
2450241.5 1360.712000
2450242.5 1360.696000
2450243.5 1360.696000
2450244.5 1360.719000
2450245.5 1360.745000
2450246.5 1360.755000
2450247.5 1360.752000
2450248.5 1360.717000
2450249.5 1360.672000
2450250.5 1360.643000
2450251.5 1360.619000
2450252.5 1360.623000
2450253.5 1360.623000
2450254.5 1360.621000
2450255.5 1360.617000
2450256.5 1360.617000
2450257.5 1360.635000
2450258.5 1360.677000
2450259.5 1360.687000
2450260.5 1360.673000
2450261.5 1360.711000
2450262.5 1360.773000
2450263.5 1360.835000
2450264.5 1360.892000
2450265.5 1360.911000
2450266.5 1360.914000
2450267.5 1360.895000
2450268.5 1360.878000
2450269.5 1360.891000
2450270.5 1360.878000
2450271.5 1360.795000
2450272.5 1360.699000
2450273.5 1360.589000
2450274.5 1360.574000
2450275.5 1360.686000
2450276.5 1360.741000
2450277.5 1360.741000
2450278.5 1360.719000
2450279.5 1360.682000
2450280.5 1360.683000
2450281.5 1360.693000
2450282.5 1360.683000
2450283.5 1360.663000
2450284.5 1360.643000
2450285.5 1360.624000
2450286.5 1360.633000
2450287.5 1360.639000
2450288.5 1360.645000
2450289.5 1360.656000
2450290.5 1360.689000
2450291.5 1360.711000
2450292.5 1360.719000
2450293.5 1360.695000
2450294.5 1360.639000
2450295.5 1360.571000
2450296.5 1360.495000
2450297.5 1360.504000
2450298.5 1360.546000
2450299.5 1360.642000
2450300.5 1360.741000
2450301.5 1360.783000
2450302.5 1360.793000
2450303.5 1360.721000
2450304.5 1360.651000
2450305.5 1360.641000
2450306.5 1360.652000
2450307.5 1360.715000
2450308.5 1360.742000
2450309.5 1360.714000
2450310.5 1360.689000
2450311.5 1360.669000
2450312.5 1360.655000
2450313.5 1360.646000
2450314.5 1360.651000
2450315.5 1360.661000
2450316.5 1360.683000
2450317.5 1360.711000
2450318.5 1360.781000
2450319.5 1360.852000
2450320.5 1360.921000
2450321.5 1360.961000
2450322.5 1360.915000
2450323.5 1360.871000
2450324.5 1360.851000
2450325.5 1360.858000
2450326.5 1360.914000
2450327.5 1360.952000
2450328.5 1360.969000
2450329.5 1360.924000
2450330.5 1360.831000
2450331.5 1360.762000
2450332.5 1360.704000
2450333.5 1360.751000
2450334.5 1360.819000
2450335.5 1360.833000
2450339.5 1360.826000
2450340.5 1360.791000
2450341.5 1360.739000
2450342.5 1360.729000
2450343.5 1360.791000
2450344.5 1360.821000
2450345.5 1360.815000
2450346.5 1360.841000
2450347.5 1360.892000
2450348.5 1360.918000
2450349.5 1360.928000
2450350.5 1360.938000
2450351.5 1360.943000
2450352.5 1360.934000
2450353.5 1360.923000
2450354.5 1360.944000
2450355.5 1360.958000
2450356.5 1360.924000
2450357.5 1360.881000
2450358.5 1360.826000
2450359.5 1360.794000
2450360.5 1360.808000
2450361.5 1360.795000
2450362.5 1360.742000
2450363.5 1360.727000
2450364.5 1360.743000
2450365.5 1360.759000
2450366.5 1360.769000
2450367.5 1360.747000
2450368.5 1360.711000
2450369.5 1360.711000
2450370.5 1360.721000
2450371.5 1360.753000
2450372.5 1360.792000
2450373.5 1360.859000
2450374.5 1360.905000
2450375.5 1360.884000
2450376.5 1360.862000
2450377.5 1360.851000
2450378.5 1360.849000
2450379.5 1360.863000
2450380.5 1360.875000
2450381.5 1360.885000
2450382.5 1360.923000
2450383.5 1360.978000
2450384.5 1360.951000
2450385.5 1360.886000
2450386.5 1360.841000
2450387.5 1360.803000
2450388.5 1360.811000
2450389.5 1360.822000
2450390.5 1360.819000
2450391.5 1360.813000
2450392.5 1360.811000
2450393.5 1360.812000
2450394.5 1360.824000
2450395.5 1360.825000
2450396.5 1360.809000
2450397.5 1360.836000
2450398.5 1360.908000
2450399.5 1360.961000
2450400.5 1361.001000
2450401.5 1361.031000
2450402.5 1361.058000
2450403.5 1361.076000
2450404.5 1361.089000
2450405.5 1361.078000
2450406.5 1361.061000
2450407.5 1361.048000
2450408.5 1361.002000
2450409.5 1360.849000
2450410.5 1360.636000
2450411.5 1360.292000
2450412.5 1360.046000
2450413.5 1359.989000
2450414.5 1360.046000
2450415.5 1360.241000
2450416.5 1360.463000
2450417.5 1360.709000
2450418.5 1360.815000
2450419.5 1360.845000
2450420.5 1360.831000
2450421.5 1360.799000
2450422.5 1360.805000
2450423.5 1360.819000
2450424.5 1360.838000
2450425.5 1360.852000
2450426.5 1360.861000
2450427.5 1360.878000
2450428.5 1360.923000
2450429.5 1360.982000
2450430.5 1361.068000
2450431.5 1361.118000
2450432.5 1361.127000
2450433.5 1361.129000
2450434.5 1361.131000
2450435.5 1361.142000
2450436.5 1361.162000
2450437.5 1361.177000
2450438.5 1361.185000
2450439.5 1361.135000
2450440.5 1361.071000
2450441.5 1361.022000
2450442.5 1360.981000
2450443.5 1360.961000
2450444.5 1360.936000
2450445.5 1360.893000
2450446.5 1360.858000
2450447.5 1360.845000
2450448.5 1360.851000
2450449.5 1360.881000
2450450.5 1360.913000
2450451.5 1360.951000
2450452.5 1360.961000
2450453.5 1360.954000
2450454.5 1360.955000
2450455.5 1360.959000
2450456.5 1360.998000
2450457.5 1361.044000
2450458.5 1361.076000
2450459.5 1361.094000
2450460.5 1361.059000
2450461.5 1361.025000
2450462.5 1361.019000
2450463.5 1361.012000
2450464.5 1361.001000
2450465.5 1360.989000
2450466.5 1360.981000
2450467.5 1360.962000
2450468.5 1360.935000
2450469.5 1360.896000
2450470.5 1360.851000
2450471.5 1360.865000
2450472.5 1360.901000
2450473.5 1360.881000
2450474.5 1360.842000
2450475.5 1360.829000
2450476.5 1360.824000
2450477.5 1360.848000
2450478.5 1360.871000
2450479.5 1360.891000
2450480.5 1360.881000
2450481.5 1360.812000
2450482.5 1360.787000
2450483.5 1360.841000
2450484.5 1360.901000
2450485.5 1360.968000
2450486.5 1360.984000
2450487.5 1360.964000
2450488.5 1360.951000
2450489.5 1360.939000
2450490.5 1360.916000
2450491.5 1360.888000
2450492.5 1360.868000
2450493.5 1360.851000
2450494.5 1360.854000
2450495.5 1360.858000
2450496.5 1360.858000
2450497.5 1360.851000
2450498.5 1360.831000
2450499.5 1360.812000
2450500.5 1360.805000
2450501.5 1360.808000
2450502.5 1360.825000
2450503.5 1360.865000
2450504.5 1360.923000
2450505.5 1360.939000
2450506.5 1360.931000
2450507.5 1360.931000
2450508.5 1360.931000
2450509.5 1360.938000
2450510.5 1360.939000
2450511.5 1360.926000
2450512.5 1360.912000
2450513.5 1360.918000
2450514.5 1360.931000
2450515.5 1360.958000
2450516.5 1360.971000
2450517.5 1360.958000
2450518.5 1360.943000
2450519.5 1360.931000
2450520.5 1360.929000
2450521.5 1360.936000
2450522.5 1360.956000
2450523.5 1360.981000
2450524.5 1360.958000
2450525.5 1360.913000
2450526.5 1360.852000
2450527.5 1360.791000
2450528.5 1360.782000
2450529.5 1360.781000
2450530.5 1360.791000
2450531.5 1360.795000
2450532.5 1360.796000
2450533.5 1360.814000
2450534.5 1360.878000
2450535.5 1360.894000
2450536.5 1360.843000
2450537.5 1360.785000
2450538.5 1360.719000
2450539.5 1360.726000
2450540.5 1360.779000
2450541.5 1360.811000
2450542.5 1360.831000
2450543.5 1360.819000
2450544.5 1360.801000
2450545.5 1360.822000
2450546.5 1360.842000
2450547.5 1360.831000
2450548.5 1360.825000
2450549.5 1360.873000
2450550.5 1360.902000
2450551.5 1360.884000
2450552.5 1360.842000
2450553.5 1360.767000
2450554.5 1360.731000
2450555.5 1360.736000
