PREMOS/PICARD
Version: v2
Created: 08-Jun-2022
JD        Value 
2455548.5 1360.962580
2455549.5 1360.986986
2455550.5 1360.983422
2455551.5 1360.984264
2455552.5 1360.966068
2455553.5 1360.960307
2455554.5 1360.890951
2455555.5 1360.827990
2455556.5 1360.783830
2455557.5 1360.765129
2455558.5 1360.738864
2455559.5 1360.785139
2455560.5 1360.825825
2455562.5 1360.901864
2455563.5 1360.855708
2455564.5 1360.860583
2455565.5 1360.800793
2455566.5 1360.789826
2455567.5 1360.798841
2455568.5 1360.832411
2455569.5 1360.871527
2455570.5 1360.906784
2455589.5 1360.783789
2455591.5 1360.893848
2455592.5 1360.860668
2455593.5 1360.865893
2455594.5 1360.897754
2455596.5 1360.985517
2455597.5 1361.005752
2455598.5 1361.036633
2455599.5 1361.051111
2455607.5 1360.548460
2455608.5 1360.570413
2455609.5 1360.606200
2455610.5 1360.624188
2455611.5 1360.633986
2455612.5 1360.647546
2455613.5 1360.741170
2455614.5 1360.835186
2455615.5 1360.874071
2455616.5 1360.839733
2455617.5 1360.830187
2455618.5 1360.904594
2455619.5 1360.960997
2455620.5 1360.943312
2455621.5 1360.740292
2455622.5 1360.653799
2455623.5 1360.682971
2455624.5 1360.626612
2455625.5 1360.537325
2455626.5 1360.605934
2455627.5 1360.704850
2455628.5 1360.577393
2455629.5 1360.422009
2455630.5 1360.338875
2455631.5 1360.427500
2455632.5 1360.680426
2455633.5 1360.980811
2455634.5 1361.153789
2455635.5 1361.203660
2455636.5 1361.163973
2455637.5 1361.071619
2455638.5 1360.960371
2455639.5 1360.863596
2455640.5 1360.826879
2455641.5 1360.803702
2455642.5 1360.842950
2455643.5 1360.901191
2455644.5 1360.916379
2455645.5 1360.893571
2455646.5 1360.912079
2455647.5 1360.931591
2455648.5 1361.026541
2455649.5 1361.108807
2455650.5 1361.193887
2455651.5 1361.351688
2455652.5 1361.460997
2455653.5 1361.562521
2455654.5 1361.524843
2455655.5 1361.385400
2455656.5 1361.418217
2455657.5 1361.407876
2455663.5 1361.087800
2455664.5 1361.012833
2455665.5 1360.914125
2455666.5 1360.740157
2455667.5 1360.654101
2455668.5 1360.642118
2455669.5 1360.639615
2455670.5 1360.655884
2455671.5 1360.792997
