SILSO
Version: v2
Created: 03-Nov-2024
JD        Value 
2449033.5 91.900000
2449064.5 94.000000
2449094.5 133.400000
2449125.5 129.600000
2449155.5 122.000000
2449186.5 81.400000
2449217.5 127.800000
2449245.5 102.400000
2449276.5 94.400000
2449306.5 78.800000
2449337.5 69.600000
2449367.5 80.400000
2449398.5 62.500000
2449429.5 31.200000
2449459.5 71.100000
2449490.5 48.200000
2449520.5 68.400000
2449551.5 84.900000
2449582.5 54.900000
2449610.5 47.500000
2449641.5 27.400000
2449671.5 29.800000
2449702.5 39.700000
2449732.5 50.600000
2449763.5 34.300000
2449794.5 40.500000
2449824.5 67.100000
2449855.5 29.500000
2449885.5 32.200000
2449916.5 32.600000
2449947.5 45.800000
2449975.5 46.300000
2450006.5 21.600000
2450036.5 19.400000
2450067.5 22.500000
2450097.5 20.400000
2450128.5 18.200000
2450159.5 15.700000
2450189.5 30.600000
2450220.5 14.000000
2450250.5 14.900000
2450281.5 13.300000
2450312.5 7.700000
2450341.5 12.600000
2450372.5 6.800000
2450402.5 7.600000
2450433.5 16.500000
2450463.5 11.800000
2450494.5 19.700000
2450525.5 3.000000
2450555.5 0.700000
2450586.5 24.900000
2450616.5 14.000000
2450647.5 7.400000
2450678.5 11.000000
2450706.5 12.100000
2450737.5 23.000000
2450767.5 25.400000
2450798.5 20.800000
2450828.5 12.900000
2450859.5 35.700000
2450890.5 59.700000
2450920.5 32.800000
2450951.5 50.400000
2450981.5 55.500000
2451012.5 44.500000
2451043.5 50.200000
2451071.5 82.000000
2451102.5 70.600000
2451132.5 74.000000
2451163.5 90.500000
2451193.5 96.700000
2451224.5 121.100000
2451255.5 132.000000
2451285.5 78.500000
2451316.5 97.300000
2451346.5 119.200000
2451377.5 86.000000
2451408.5 98.000000
2451436.5 103.500000
2451467.5 93.600000
2451497.5 149.600000
2451528.5 207.200000
2451558.5 173.500000
2451589.5 142.300000
2451620.5 106.300000
2451650.5 168.700000
2451681.5 188.300000
2451711.5 116.800000
2451743.5 133.100000
2451774.5 165.700000
2451803.5 217.700000
2451834.5 191.500000
2451864.5 165.900000
2451895.5 188.000000
2451925.5 244.300000
2451956.5 180.500000
2451987.5 156.000000
2452017.5 141.600000
2452048.5 158.100000
2452078.5 143.300000
2452109.5 142.600000
2452140.5 121.500000
2452168.5 165.800000
2452199.5 161.700000
2452229.5 142.100000
2452260.5 202.900000
2452290.5 123.000000
2452321.5 161.500000
2452352.5 238.200000
2452382.5 194.100000
2452413.5 176.600000
2452443.5 213.400000
2452474.5 184.600000
2452505.5 170.200000
2452533.5 147.100000
2452564.5 186.900000
2452594.5 187.500000
2452625.5 128.800000
2452655.5 161.000000
2452686.5 175.600000
2452717.5 187.900000
2452747.5 151.200000
2452778.5 147.200000
2452808.5 135.300000
2452839.5 133.500000
2452870.5 75.700000
2452898.5 100.700000
2452929.5 97.900000
2452959.5 86.800000
2452990.5 118.700000
2453020.5 128.300000
2453051.5 115.400000
2453082.5 78.500000
2453112.5 97.800000
2453143.5 82.900000
2453173.5 72.200000
2453204.5 60.600000
2453235.5 74.600000
2453264.5 74.800000
2453295.5 59.200000
2453325.5 72.800000
2453356.5 66.500000
2453386.5 83.800000
2453417.5 69.700000
2453448.5 48.800000
2453478.5 74.200000
2453509.5 70.100000
2453539.5 28.900000
2453570.5 48.100000
2453601.5 43.500000
2453629.5 39.600000
2453660.5 38.700000
2453690.5 61.900000
2453721.5 56.800000
2453751.5 62.400000
2453782.5 60.500000
2453813.5 37.200000
2453843.5 13.200000
2453874.5 27.500000
2453904.5 59.300000
2453935.5 20.900000
2453966.5 5.700000
2453994.5 17.300000
2454025.5 50.300000
2454055.5 37.200000
2454086.5 24.500000
2454116.5 22.200000
2454147.5 20.800000
2454178.5 23.700000
2454208.5 14.900000
2454239.5 35.700000
2454269.5 22.300000
2454300.5 29.300000
2454331.5 18.400000
2454359.5 7.200000
2454390.5 5.400000
2454420.5 19.500000
2454451.5 21.300000
2454481.5 15.100000
2454512.5 9.800000
2454543.5 4.000000
2454573.5 1.500000
2454604.5 2.800000
2454634.5 17.300000
2454665.5 4.100000
2454696.5 2.900000
2454725.5 15.500000
2454756.5 3.600000
2454786.5 4.600000
2454817.5 5.200000
2454847.5 0.600000
2454878.5 0.300000
2454909.5 1.200000
2454939.5 4.200000
2454970.5 6.600000
2455000.5 1.000000
2455031.5 1.300000
2455062.5 1.200000
2455090.5 0.600000
2455121.5 1.200000
2455151.5 2.900000
2455182.5 6.300000
2455212.5 5.500000
2455243.5 0.000000
2455274.5 7.100000
2455304.5 7.700000
2455335.5 6.900000
2455365.5 16.300000
2455397.5 19.500000
2455428.5 28.500000
2455456.5 24.000000
2455487.5 10.400000
2455517.5 13.900000
2455548.5 18.800000
2455578.5 25.200000
