VIRGO/SOHO
Version: V8_20220105
Created: 03-Nov-2024
JD        Value 
2450582.0 1360.761000
2450583.0 1360.835000
2450584.0 1360.849000
2450585.0 1360.803000
2450586.0 1360.757000
2450587.0 1360.724000
2450588.0 1360.689000
2450589.0 1360.719000
2450590.0 1360.759000
2450591.0 1360.824000
2450592.0 1360.916000
2450593.0 1360.979000
2450594.0 1360.968000
2450595.0 1360.951000
2450596.0 1360.983000
2450597.0 1361.025000
2450598.0 1361.053000
2450599.0 1361.068000
2450600.0 1361.054000
2450601.0 1360.966000
2450602.0 1360.878000
2450603.0 1360.866000
2450604.0 1360.868000
2450605.0 1360.873000
2450606.0 1360.881000
2450607.0 1360.878000
2450608.0 1360.858000
2450609.0 1360.835000
2450610.0 1360.854000
2450611.0 1360.876000
2450612.0 1360.874000
2450613.0 1360.851000
2450614.0 1360.841000
2450615.0 1360.868000
2450616.0 1360.891000
2450617.0 1360.899000
2450618.0 1360.899000
2450619.0 1360.908000
2450620.0 1360.921000
2450621.0 1360.918000
2450622.0 1360.888000
2450623.0 1360.858000
2450624.0 1360.861000
2450625.0 1360.864000
2450626.0 1360.898000
2450627.0 1360.951000
2450628.0 1360.968000
2450629.0 1360.919000
2450630.0 1360.871000
2450631.0 1360.864000
2450632.0 1360.862000
2450633.0 1360.848000
2450634.0 1360.824000
2450635.0 1360.804000
2450636.0 1360.801000
2450637.0 1360.791000
2450638.0 1360.789000
2450639.0 1360.782000
2450640.0 1360.781000
2450641.0 1360.779000
2450642.0 1360.773000
2450643.0 1360.769000
2450644.0 1360.761000
2450645.0 1360.787000
2450646.0 1360.811000
2450647.0 1360.851000
2450648.0 1360.892000
2450649.0 1360.911000
2450650.0 1360.893000
2450651.0 1360.873000
2450652.0 1360.872000
2450653.0 1360.868000
2450654.0 1360.889000
2450655.0 1360.919000
2450656.0 1360.931000
2450657.0 1360.914000
2450658.0 1360.891000
2450659.0 1360.861000
2450660.0 1360.824000
2450661.0 1360.814000
2450662.0 1360.813000
2450663.0 1360.819000
2450664.0 1360.842000
2450665.0 1360.856000
2450666.0 1360.853000
2450667.0 1360.843000
2450668.0 1360.851000
2450669.0 1360.862000
2450670.0 1360.881000
2450671.0 1360.911000
2450672.0 1360.933000
2450673.0 1360.936000
2450674.0 1360.933000
2450675.0 1360.923000
2450676.0 1360.908000
2450677.0 1360.895000
2450678.0 1360.891000
2450679.0 1360.883000
2450680.0 1360.882000
2450681.0 1360.878000
2450682.0 1360.908000
2450683.0 1360.948000
2450684.0 1360.988000
2450685.0 1361.033000
2450686.0 1361.048000
2450687.0 1360.953000
2450688.0 1360.851000
2450689.0 1360.811000
2450690.0 1360.791000
2450691.0 1360.852000
2450692.0 1361.012000
2450693.0 1361.134000
2450694.0 1361.154000
2450695.0 1361.158000
2450696.0 1361.046000
2450697.0 1360.893000
2450698.0 1360.729000
2450699.0 1360.547000
2450700.0 1360.371000
2450701.0 1360.236000
2450702.0 1360.111000
2450703.0 1360.303000
2450704.0 1360.577000
2450705.0 1360.749000
2450706.0 1360.825000
2450707.0 1360.881000
2450708.0 1360.882000
2450709.0 1360.881000
2450710.0 1360.939000
2450711.0 1361.013000
2450712.0 1361.058000
2450713.0 1361.078000
2450714.0 1361.065000
2450715.0 1360.965000
2450716.0 1360.871000
2450717.0 1360.916000
2450718.0 1360.993000
2450719.0 1361.072000
2450720.0 1361.153000
2450721.0 1361.205000
2450722.0 1361.179000
2450723.0 1361.153000
2450724.0 1361.151000
2450725.0 1361.154000
2450726.0 1361.183000
2450727.0 1361.231000
2450728.0 1361.278000
2450729.0 1361.317000
2450730.0 1361.352000
2450731.0 1361.334000
2450732.0 1361.311000
2450733.0 1361.277000
2450734.0 1361.241000
2450735.0 1361.198000
2450736.0 1361.141000
2450737.0 1361.093000
2450738.0 1361.109000
2450739.0 1361.138000
2450740.0 1361.152000
2450741.0 1361.157000
2450742.0 1361.162000
2450743.0 1361.171000
2450744.0 1361.183000
2450745.0 1361.201000
2450746.0 1361.221000
2450747.0 1361.239000
2450748.0 1361.261000
2450749.0 1361.248000
2450750.0 1361.168000
2450751.0 1361.097000
2450752.0 1361.078000
2450753.0 1361.068000
2450754.0 1360.958000
2450755.0 1360.791000
2450756.0 1360.729000
2450757.0 1360.876000
2450758.0 1361.022000
2450759.0 1361.161000
2450760.0 1361.299000
2450761.0 1361.304000
2450762.0 1361.241000
2450763.0 1361.187000
2450764.0 1361.147000
2450765.0 1361.111000
2450766.0 1361.092000
2450767.0 1361.073000
2450768.0 1360.993000
2450769.0 1360.881000
2450770.0 1360.782000
2450771.0 1360.703000
2450772.0 1360.655000
2450773.0 1360.809000
2450774.0 1360.988000
2450775.0 1361.198000
2450776.0 1361.429000
2450777.0 1361.556000
2450778.0 1361.522000
2450779.0 1361.482000
2450780.0 1361.378000
2450781.0 1361.272000
2450782.0 1361.181000
2450783.0 1361.097000
2450784.0 1361.069000
2450785.0 1361.117000
2450786.0 1361.173000
2450787.0 1361.271000
2450788.0 1361.371000
2450789.0 1361.343000
2450790.0 1361.267000
2450791.0 1361.185000
2450792.0 1361.097000
2450793.0 1361.034000
2450794.0 1361.079000
2450795.0 1361.131000
2450796.0 1361.135000
2450797.0 1361.119000
2450798.0 1361.084000
2450799.0 1361.021000
2450800.0 1360.986000
2450801.0 1361.071000
2450802.0 1361.161000
