;The following data are for ACRIM2_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  2965  1363.764
 2449105.001  1365.057    0.1591
 2449105.990  1365.058    0.1588
 2449106.989  1365.052    0.1585
 2449107.985  1364.910    0.1582
 2449108.996  1364.862    0.1579
 2449109.977  1364.830    0.1576
 2449110.978  1364.761    0.1573
 2449111.974  1364.828    0.1570
 2449112.982  1364.784    0.1567
 2449113.988  1364.604    0.1564
 2449114.992  1364.161    0.1561
 2449116.006  1363.780    0.1558
 2449116.999  1363.503    0.1555
 2449118.002  1363.366    0.1552
 2449119.006  1363.610    0.1549
 2449120.010  1364.004    0.1546
 2449121.012  1364.179    0.1543
 2449122.015  1364.476    0.1539
 2449123.028  1364.453    0.1536
 2449124.019  1364.445    0.1533
 2449125.017  1364.411    0.1530
 2449126.019  1364.436    0.1527
 2449127.016  1364.529    0.1524
 2449128.015  1364.628    0.1521
 2449129.006  1364.687    0.1518
 2449129.995  1364.648    0.1515
 2449130.983  1364.666    0.1512
 2449131.988  1364.736    0.1509
 2449132.990  1364.769    0.1506
 2449133.985  1364.760    0.1503
 2449134.978  1364.704    0.1500
 2449135.830  1364.504    0.1497
 2449137.028  1364.418    0.1494
 2449137.993  1364.228    0.1491
 2449138.997  1364.161    0.1488
 2449139.984  1364.321    0.1485
 2449140.983  1364.318    0.1482
 2449141.994  1364.314    0.1479
 2449142.980  1364.477    0.1476
 2449143.994  1364.493    0.1473
 2449145.002  1364.267    0.1470
 2449145.992  1364.323    0.1467
 2449146.990  1364.362    0.1464
 2449147.998  1364.441    0.1461
 2449149.000  1364.393    0.1458
 2449149.991  1364.454    0.1455
 2449151.004  1364.379    0.1452
 2449151.989  1364.283    0.1449
 2449152.996  1364.233    0.1446
 2449154.002  1364.235    0.1443
 2449155.000  1364.253    0.1440
 2449156.009  1364.246    0.1437
 2449157.014  1364.321    0.1434
 2449158.037  1364.427    0.1431
 2449159.024  1364.401    0.1428
 2449160.001  1364.459    0.1425
 2449160.994  1364.535    0.1421
 2449162.000  1364.539    0.1418
 2449162.986  1364.453    0.1415
 2449163.987  1364.494    0.1412
 2449164.984  1364.590    0.1409
 2449165.991  1364.606    0.1406
 2449166.998  1364.460    0.1403
 2449168.003  1364.388    0.1400
 2449169.001  1364.268    0.1397
 2449169.999  1364.337    0.1394
 2449171.000  1364.449    0.1391
 2449172.029  1364.412    0.1388
 2449173.012  1364.588    0.1385
 2449174.009  1364.689    0.1382
 2449175.011  1364.734    0.1379
 2449176.017  1364.641    0.1376
 2449176.789  1364.509    0.1373
 2449177.996  1364.122    0.1370
 2449179.000  1364.078    0.1367
 2449179.990  1364.103    0.1364
 2449180.982  1364.181    0.1361
 2449181.976  1364.123    0.1358
 2449182.981  1364.120    0.1355
 2449183.987  1364.084    0.1352
 2449184.993  1364.250    0.1349
 2449186.010  1364.396    0.1346
 2449187.001  1364.434    0.1343
 2449188.002  1364.476    0.1340
 2449189.000  1364.430    0.1337
 2449190.005  1364.277    0.1334
 2449191.008  1364.423    0.1331
 2449192.011  1364.540    0.1327
 2449193.029  1364.705    0.1324
 2449194.017  1364.672    0.1321
 2449195.019  1364.706    0.1318
 2449196.016  1364.617    0.1315
 2449197.016  1364.564    0.1312
 2449198.016  1364.509    0.1309
 2449199.013  1364.465    0.1306
 2449200.020  1364.476    0.1303
 2449200.999  1364.465    0.1300
 2449201.998  1364.475    0.1297
 2449203.001  1364.457    0.1293
 2449203.818  1364.379    0.1290
 2449205.000    -9.000   -9.0000
 2449206.000    -9.000   -9.0000
 2449207.000    -9.000   -9.0000
 2449208.000    -9.000   -9.0000
 2449209.000    -9.000   -9.0000
 2449210.000    -9.000   -9.0000
 2449210.987  1364.554    0.1269
 2449211.985  1364.577    0.1266
 2449212.983  1364.553    0.1263
 2449214.001  1364.509    0.1259
 2449214.987  1364.447    0.1256
 2449215.988  1364.408    0.1253
 2449216.991  1364.425    0.1250
 2449217.999  1364.433    0.1247
 2449219.005  1364.453    0.1244
 2449220.007  1364.446    0.1241
 2449221.023  1364.443    0.1238
 2449222.010  1364.369    0.1235
 2449223.014  1364.331    0.1232
 2449224.018  1364.330    0.1229
 2449225.021  1364.387    0.1225
 2449226.018  1364.389    0.1222
 2449227.018  1364.362    0.1219
 2449228.023  1364.363    0.1216
 2449229.007  1364.381    0.1213
 2449229.996  1364.423    0.1210
 2449230.993  1364.404    0.1207
 2449231.987  1364.335    0.1204
 2449232.985  1364.298    0.1201
 2449233.982  1364.271    0.1198
 2449235.001  1364.289    0.1195
 2449235.993  1364.320    0.1192
 2449237.003  1364.341    0.1189
 2449238.000  1364.417    0.1186
 2449239.005  1364.480    0.1183
 2449240.010  1364.522    0.1180
 2449241.010  1364.511    0.1177
 2449242.025  1364.472    0.1174
 2449243.014  1364.449    0.1171
 2449244.015  1364.429    0.1168
 2449245.017  1364.491    0.1165
 2449246.011  1364.585    0.1162
 2449247.015  1364.689    0.1159
 2449248.000    -9.000   -9.0000
 2449249.000    -9.000   -9.0000
 2449250.000    -9.000   -9.0000
 2449251.000    -9.000   -9.0000
 2449252.000    -9.000   -9.0000
 2449253.000    -9.000   -9.0000
 2449254.000  1364.347    0.1138
 2449255.000  1364.145    0.1135
 2449256.018  1364.039    0.1132
 2449257.006  1363.966    0.1129
 2449258.011  1363.951    0.1126
 2449259.014  1363.848    0.1124
 2449260.019  1363.742    0.1121
 2449261.017  1363.449    0.1118
 2449262.018  1363.158    0.1115
 2449263.031  1362.902    0.1112
 2449264.009  1362.876    0.1109
 2449265.001  1363.062    0.1106
 2449265.993  1363.166    0.1104
 2449266.990  1363.372    0.1101
 2449267.986  1363.616    0.1098
 2449268.985  1363.924    0.1095
 2449270.003  1364.013    0.1092
 2449270.991  1364.084    0.1090
 2449271.992  1364.149    0.1087
 2449272.997  1364.134    0.1084
 2449274.000  1364.117    0.1081
 2449275.002  1364.171    0.1079
 2449276.005  1364.202    0.1076
 2449277.016  1364.275    0.1073
 2449278.013  1364.365    0.1070
 2449279.015  1364.425    0.1068
 2449280.017  1364.439    0.1065
 2449281.017  1364.347    0.1062
 2449282.016  1364.213    0.1060
 2449283.012  1364.250    0.1057
 2449284.026  1364.233    0.1054
 2449284.888  1364.313    0.1052
 2449286.020  1364.483    0.1049
 2449287.043  1364.417    0.1047
 2449288.016  1364.294    0.1044
 2449289.014  1364.255    0.1041
 2449290.017  1364.213    0.1039
 2449291.028  1364.157    0.1036
 2449292.006  1364.112    0.1034
 2449293.004  1363.996    0.1031
 2449294.000  1363.856    0.1029
 2449294.995  1363.714    0.1026
 2449295.988  1363.644    0.1024
 2449296.984  1363.708    0.1021
 2449297.995  1363.813    0.1019
 2449298.989  1363.965    0.1016
 2449299.991  1364.122    0.1014
 2449300.993  1364.233    0.1012
 2449301.995  1364.327    0.1009
 2449303.001  1364.381    0.1007
 2449304.003  1364.390    0.1004
