;The following data are for HF_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  5184  1371.020
 2444164.000    -9.000   -9.0000
 2444165.000  1371.757    0.0463
 2444166.000  1372.149    0.0464
 2444167.000  1372.312    0.0464
 2444168.000    -9.000   -9.0000
 2444169.000  1372.599    0.0465
 2444170.000  1372.911    0.0466
 2444171.000  1372.784    0.0466
 2444172.000    -9.000   -9.0000
 2444173.000  1372.401    0.0467
 2444174.000  1372.144    0.0468
 2444175.000  1372.287    0.0468
 2444176.000    -9.000   -9.0000
 2444177.000  1372.183    0.0469
 2444178.000  1372.006    0.0469
 2444179.000  1372.438    0.0470
 2444180.000    -9.000   -9.0000
 2444181.000  1372.024    0.0471
 2444182.000  1372.307    0.0471
 2444183.000  1372.370    0.0472
 2444184.000    -9.000   -9.0000
 2444185.000  1371.167    0.0473
 2444186.000  1370.620    0.0473
 2444187.000  1370.823    0.0474
 2444188.000    -9.000   -9.0000
 2444189.000  1371.169    0.0475
 2444190.000  1371.491    0.0475
 2444191.000  1371.844    0.0476
 2444192.000    -9.000   -9.0000
 2444193.000  1372.500    0.0477
 2444194.000  1373.002    0.0477
 2444195.000  1373.065    0.0478
 2444196.000    -9.000   -9.0000
 2444197.000  1372.781    0.0479
 2444198.000  1372.884    0.0479
 2444199.000  1372.877    0.0479
 2444200.000    -9.000   -9.0000
 2444201.000  1372.282    0.0480
 2444202.000  1372.195    0.0481
 2444203.000  1372.577    0.0481
 2444204.000    -9.000   -9.0000
 2444205.000  1372.783    0.0482
 2444206.000  1372.805    0.0483
 2444207.000  1372.858    0.0483
 2444208.000    -9.000   -9.0000
 2444209.000  1372.453    0.0484
 2444210.000  1372.516    0.0485
 2444211.000  1372.348    0.0485
 2444212.000    -9.000   -9.0000
 2444213.000  1372.154    0.0486
 2444214.000    -9.000   -9.0000
 2444215.000  1372.789    0.0487
 2444216.000    -9.000   -9.0000
 2444217.000  1372.755    0.0488
 2444218.000  1372.997    0.0489
 2444219.000  1372.980    0.0489
 2444220.000    -9.000   -9.0000
 2444221.000  1373.055    0.0490
 2444222.000  1373.048    0.0490
 2444223.000  1373.061    0.0491
 2444224.000    -9.000   -9.0000
 2444225.000  1372.616    0.0492
 2444226.000    -9.000   -9.0000
